[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[11]画像ファイル名末尾の数だけ使用数を計上するか
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
机,1800×450,desk_1800_450,FALSE,,,,,机の大きさ：1800mm×450mm,,,
机,1m×1m,desk_1000_1000,FALSE,,,,,机の大きさ：1m×1m,,,
机,1800×600,desk_1800_600,FALSE,,,,,机の大きさ：1800mm×600mm,,,
机,1800×800,desk_1800_800,FALSE,,,,,机の大きさ：1800mm×800mm,,,
机,1800×450(クッション付き),desk_1800_450_cushion,FALSE,,,,,机の大きさ：1800mm×450mm,,,
机,畳,tatami,FALSE,,,,,畳の大きさ：1800mm×900mm,,,
